,date,hour,gb_price_eur
0,2022-01-01,1,89.24
1,2022-01-01,2,89.24
2,2022-01-01,3,108.52
3,2022-01-01,4,57.12
4,2022-01-01,5,83.29
5,2022-01-01,6,0.0
6,2022-01-01,7,64.49
7,2022-01-01,8,-22.85
8,2022-01-01,9,35.7
9,2022-01-01,10,-10.23
10,2022-01-01,11,-3.81
11,2022-01-01,12,-5.71
12,2022-01-01,13,-25.58
13,2022-01-01,14,-0.95
14,2022-01-01,15,-21.42
15,2022-01-01,16,23.8
16,2022-01-01,17,-11.9
17,2022-01-01,18,19.87
18,2022-01-01,19,-23.8
19,2022-01-01,20,49.98
20,2022-01-01,21,-9.52
21,2022-01-01,22,82.1
22,2022-01-01,23,33.32
23,2022-01-01,24,108.04
24,2022-01-01,25,77.34
25,2022-01-01,26,112.21
26,2022-01-01,27,125.77
27,2022-01-01,28,118.99
28,2022-01-01,29,128.63
29,2022-01-01,30,125.65
30,2022-01-01,31,133.63
31,2022-01-01,32,142.43
32,2022-01-01,33,103.52
33,2022-01-01,34,190.39
34,2022-01-01,35,203.95
35,2022-01-01,36,201.09
36,2022-01-01,37,190.39
37,2022-01-01,38,130.89
38,2022-01-01,39,153.86
39,2022-01-01,40,136.48
40,2022-01-01,41,156.12
41,2022-01-01,42,111.85
42,2022-01-01,43,183.25
43,2022-01-01,44,104.36
44,2022-01-01,45,154.69
45,2022-01-01,46,77.34
46,2022-01-01,47,67.82
47,2022-01-01,48,-19.04
48,2022-02-01,1,-10.92
49,2022-02-01,2,35.99
50,2022-02-01,3,35.99
51,2022-02-01,4,-1.92
52,2022-02-01,5,12.0
53,2022-02-01,6,6.0
54,2022-02-01,7,16.31
55,2022-02-01,8,0.0
56,2022-02-01,9,8.4
57,2022-02-01,10,0.24
58,2022-02-01,11,-0.48
59,2022-02-01,12,0.0
60,2022-02-01,13,-4.68
61,2022-02-01,14,26.27
62,2022-02-01,15,0.12
63,2022-02-01,16,14.52
64,2022-02-01,17,-10.8
65,2022-02-01,18,67.54
66,2022-02-01,19,2.4
67,2022-02-01,20,78.93
68,2022-02-01,21,34.79
69,2022-02-01,22,76.78
70,2022-02-01,23,76.3
71,2022-02-01,24,76.3
72,2022-02-01,25,82.77
73,2022-02-01,26,79.65
74,2022-02-01,27,91.17
75,2022-02-01,28,67.18
76,2022-02-01,29,71.98
77,2022-02-01,30,78.1
78,2022-02-01,31,61.18
79,2022-02-01,32,61.18
80,2022-02-01,33,70.18
81,2022-02-01,34,131.96
82,2022-02-01,35,134.84
83,2022-02-01,36,129.32
84,2022-02-01,37,131.96
85,2022-02-01,38,43.19
86,2022-02-01,39,95.97
87,2022-02-01,40,17.99
88,2022-02-01,41,52.78
89,2022-02-01,42,74.5
90,2022-02-01,43,102.69
91,2022-02-01,44,22.79
92,2022-02-01,45,9.6
93,2022-02-01,46,-13.44
94,2022-02-01,47,13.2
95,2022-02-01,48,-38.39
96,2022-03-01,1,-23.96
97,2022-03-01,2,-9.94
98,2022-03-01,3,-23.96
99,2022-03-01,4,-38.34
100,2022-03-01,5,-35.95
101,2022-03-01,6,-57.51
102,2022-03-01,7,-27.56
103,2022-03-01,8,-38.34
104,2022-03-01,9,-34.51
105,2022-03-01,10,-38.34
106,2022-03-01,11,-5.99
107,2022-03-01,12,-5.03
108,2022-03-01,13,9.11
109,2022-03-01,14,59.91
110,2022-03-01,15,0.0
111,2022-03-01,16,47.93
112,2022-03-01,17,53.56
113,2022-03-01,18,134.08
114,2022-03-01,19,83.87
115,2022-03-01,20,150.73
116,2022-03-01,21,89.86
117,2022-03-01,22,143.78
118,2022-03-01,23,95.85
119,2022-03-01,24,135.03
120,2022-03-01,25,115.38
121,2022-03-01,26,137.07
122,2022-03-01,27,131.8
123,2022-03-01,28,131.8
124,2022-03-01,29,130.36
125,2022-03-01,30,127.01
126,2022-03-01,31,119.82
127,2022-03-01,32,145.64
128,2022-03-01,33,144.26
129,2022-03-01,34,192.19
130,2022-03-01,35,180.21
131,2022-03-01,36,191.71
132,2022-03-01,37,203.69
133,2022-03-01,38,153.37
134,2022-03-01,39,150.25
135,2022-03-01,40,119.82
136,2022-03-01,41,160.44
137,2022-03-01,42,119.82
138,2022-03-01,43,145.22
139,2022-03-01,44,121.02
140,2022-03-01,45,123.17
141,2022-03-01,46,47.93
142,2022-03-01,47,146.42
143,2022-03-01,48,155.76
144,2022-04-01,1,122.27
145,2022-04-01,2,142.57
146,2022-04-01,3,168.57
147,2022-04-01,4,136.51
148,2022-04-01,5,160.26
149,2022-04-01,6,130.58
150,2022-04-01,7,140.08
151,2022-04-01,8,109.21
152,2022-04-01,9,137.7
153,2022-04-01,10,124.53
154,2022-04-01,11,130.58
155,2022-04-01,12,146.01
156,2022-04-01,13,178.06
157,2022-04-01,14,178.06
158,2022-04-01,15,178.06
159,2022-04-01,16,227.92
160,2022-04-01,17,195.87
161,2022-04-01,18,225.55
162,2022-04-01,19,209.05
163,2022-04-01,20,212.01
164,2022-04-01,21,203.58
165,2022-04-01,22,203.23
166,2022-04-01,23,201.21
167,2022-04-01,24,195.87
168,2022-04-01,25,195.87
169,2022-04-01,26,194.56
170,2022-04-01,27,193.73
171,2022-04-01,28,182.81
172,2022-04-01,29,189.7
173,2022-04-01,30,183.64
174,2022-04-01,31,167.14
175,2022-04-01,32,183.29
176,2022-04-01,33,135.33
177,2022-04-01,34,212.49
178,2022-04-01,35,203.23
179,2022-04-01,36,199.43
180,2022-04-01,37,207.15
181,2022-04-01,38,185.78
182,2022-04-01,39,225.55
183,2022-04-01,40,167.38
184,2022-04-01,41,178.06
185,2022-04-01,42,161.44
186,2022-04-01,43,195.87
187,2022-04-01,44,146.31
188,2022-04-01,45,166.19
189,2022-04-01,46,113.96
190,2022-04-01,47,142.45
191,2022-04-01,48,130.58
192,2022-05-01,1,143.57
193,2022-05-01,2,161.82
194,2022-05-01,3,150.25
195,2022-05-01,4,116.38
196,2022-05-01,5,141.78
197,2022-05-01,6,131.29
198,2022-05-01,7,121.63
199,2022-05-01,8,85.86
200,2022-05-01,9,103.03
201,2022-05-01,10,120.68
202,2022-05-01,11,160.27
203,2022-05-01,12,169.81
204,2022-05-01,13,202.48
205,2022-05-01,14,196.76
206,2022-05-01,15,206.3
207,2022-05-01,16,251.85
208,2022-05-01,17,208.68
209,2022-05-01,18,265.68
210,2022-05-01,19,249.22
211,2022-05-01,20,238.49
212,2022-05-01,21,235.27
213,2022-05-01,22,226.69
214,2022-05-01,23,218.46
215,2022-05-01,24,229.91
216,2022-05-01,25,220.73
217,2022-05-01,26,230.26
218,2022-05-01,27,231.93
219,2022-05-01,28,227.76
220,2022-05-01,29,248.03
221,2022-05-01,30,238.49
222,2022-05-01,31,220.49
223,2022-05-01,32,238.49
224,2022-05-01,33,238.49
225,2022-05-01,34,338.06
226,2022-05-01,35,321.97
227,2022-05-01,36,321.97
228,2022-05-01,37,318.86
229,2022-05-01,38,297.64
230,2022-05-01,39,327.93
231,2022-05-01,40,281.12
232,2022-05-01,41,274.27
233,2022-05-01,42,214.64
234,2022-05-01,43,239.33
235,2022-05-01,44,207.19
236,2022-05-01,45,247.08
237,2022-05-01,46,214.64
238,2022-05-01,47,233.48
239,2022-05-01,48,223.47
240,2022-06-01,1,199.25
241,2022-06-01,2,222.11
242,2022-06-01,3,205.11
243,2022-06-01,4,183.78
244,2022-06-01,5,199.25
245,2022-06-01,6,148.62
246,2022-06-01,7,166.43
247,2022-06-01,8,123.18
248,2022-06-01,9,192.22
249,2022-06-01,10,179.21
250,2022-06-01,11,161.74
251,2022-06-01,12,205.11
252,2022-06-01,13,198.9
253,2022-06-01,14,232.07
254,2022-06-01,15,194.56
255,2022-06-01,16,281.29
256,2022-06-01,17,274.73
257,2022-06-01,18,275.55
258,2022-06-01,19,290.67
259,2022-06-01,20,268.4
260,2022-06-01,21,257.38
261,2022-06-01,22,228.55
262,2022-06-01,23,243.91
263,2022-06-01,24,236.29
264,2022-06-01,25,226.32
265,2022-06-01,26,218.82
266,2022-06-01,27,243.79
267,2022-06-01,28,230.43
268,2022-06-01,29,250.35
269,2022-06-01,30,248.48
270,2022-06-01,31,233.83
271,2022-06-01,32,288.8
272,2022-06-01,33,251.99
273,2022-06-01,34,299.34
274,2022-06-01,35,279.42
275,2022-06-01,36,281.29
276,2022-06-01,37,288.33
277,2022-06-01,38,254.45
278,2022-06-01,39,246.13
279,2022-06-01,40,227.38
280,2022-06-01,41,231.95
281,2022-06-01,42,229.72
282,2022-06-01,43,256.8
283,2022-06-01,44,207.34
284,2022-06-01,45,215.66
285,2022-06-01,46,194.68
286,2022-06-01,47,210.03
287,2022-06-01,48,195.5
288,2022-07-01,1,164.69
289,2022-07-01,2,185.57
290,2022-07-01,3,192.99
291,2022-07-01,4,173.97
292,2022-07-01,5,170.49
293,2022-07-01,6,165.85
294,2022-07-01,7,165.62
295,2022-07-01,8,148.46
296,2022-07-01,9,173.97
297,2022-07-01,10,173.74
298,2022-07-01,11,173.97
299,2022-07-01,12,185.57
300,2022-07-01,13,219.21
301,2022-07-01,14,205.64
302,2022-07-01,15,205.17
303,2022-07-01,16,223.61
304,2022-07-01,17,233.94
305,2022-07-01,18,252.84
306,2022-07-01,19,251.57
307,2022-07-01,20,251.33
308,2022-07-01,21,236.95
309,2022-07-01,22,232.31
310,2022-07-01,23,229.65
311,2022-07-01,24,231.85
312,2022-07-01,25,240.9
313,2022-07-01,26,240.9
314,2022-07-01,27,234.17
315,2022-07-01,28,229.65
316,2022-07-01,29,220.83
317,2022-07-01,30,212.25
318,2022-07-01,31,216.66
319,2022-07-01,32,241.24
320,2022-07-01,33,225.01
321,2022-07-01,34,266.76
322,2022-07-01,35,286.59
323,2022-07-01,36,293.44
324,2022-07-01,37,289.96
325,2022-07-01,38,279.05
326,2022-07-01,39,266.76
327,2022-07-01,40,225.01
328,2022-07-01,41,246.35
329,2022-07-01,42,239.04
330,2022-07-01,43,219.21
331,2022-07-01,44,220.37
332,2022-07-01,45,221.76
333,2022-07-01,46,219.21
334,2022-07-01,47,278.36
335,2022-07-01,48,231.96
336,2022-08-01,1,215.0
337,2022-08-01,2,265.17
338,2022-08-01,3,247.61
339,2022-08-01,4,238.89
340,2022-08-01,5,231.49
341,2022-08-01,6,236.62
342,2022-08-01,7,206.88
343,2022-08-01,8,161.25
344,2022-08-01,9,196.49
345,2022-08-01,10,155.64
346,2022-08-01,11,161.37
347,2022-08-01,12,156.12
348,2022-08-01,13,161.25
349,2022-08-01,14,180.72
350,2022-08-01,15,204.25
351,2022-08-01,16,210.46
352,2022-08-01,17,197.68
353,2022-08-01,18,249.64
354,2022-08-01,19,220.97
355,2022-08-01,20,236.86
356,2022-08-01,21,203.06
357,2022-08-01,22,219.66
358,2022-08-01,23,231.72
359,2022-08-01,24,237.7
360,2022-08-01,25,241.76
361,2022-08-01,26,241.76
362,2022-08-01,27,226.95
363,2022-08-01,28,209.03
364,2022-08-01,29,207.84
365,2022-08-01,30,200.67
366,2022-08-01,31,155.4
367,2022-08-01,32,187.65
368,2022-08-01,33,180.12
369,2022-08-01,34,274.73
370,2022-08-01,35,273.89
371,2022-08-01,36,282.25
372,2022-08-01,37,282.61
373,2022-08-01,38,210.22
374,2022-08-01,39,236.5
375,2022-08-01,40,161.25
376,2022-08-01,41,203.06
377,2022-08-01,42,201.74
378,2022-08-01,43,226.95
379,2022-08-01,44,186.34
380,2022-08-01,45,161.25
381,2022-08-01,46,121.83
382,2022-08-01,47,206.04
383,2022-08-01,48,179.17
384,2022-09-01,1,197.28
385,2022-09-01,2,215.39
386,2022-09-01,3,225.14
387,2022-09-01,4,189.39
388,2022-09-01,5,197.28
389,2022-09-01,6,174.07
390,2022-09-01,7,169.43
391,2022-09-01,8,107.69
392,2022-09-01,9,155.27
393,2022-09-01,10,116.05
394,2022-09-01,11,115.93
395,2022-09-01,12,126.26
396,2022-09-01,13,135.78
397,2022-09-01,14,139.26
398,2022-09-01,15,121.85
399,2022-09-01,16,139.26
400,2022-09-01,17,145.41
401,2022-09-01,18,188.35
402,2022-09-01,19,201.93
403,2022-09-01,20,209.82
404,2022-09-01,21,200.53
405,2022-09-01,22,185.68
406,2022-09-01,23,189.39
407,2022-09-01,24,192.87
408,2022-09-01,25,219.1
409,2022-09-01,26,225.25
410,2022-09-01,27,220.49
411,2022-09-01,28,219.33
412,2022-09-01,29,207.73
413,2022-09-01,30,206.57
414,2022-09-01,31,193.92
415,2022-09-01,32,202.27
416,2022-09-01,33,221.19
417,2022-09-01,34,281.3
418,2022-09-01,35,306.37
419,2022-09-01,36,306.37
420,2022-09-01,37,285.95
421,2022-09-01,38,265.52
422,2022-09-01,39,265.87
423,2022-09-01,40,232.1
424,2022-09-01,41,233.96
425,2022-09-01,42,203.09
426,2022-09-01,43,225.14
427,2022-09-01,44,203.09
428,2022-09-01,45,200.65
429,2022-09-01,46,196.59
430,2022-09-01,47,213.53
431,2022-09-01,48,183.24
432,2022-10-01,1,187.63
433,2022-10-01,2,195.59
434,2022-10-01,3,197.86
435,2022-10-01,4,181.94
436,2022-10-01,5,181.94
437,2022-10-01,6,175.12
438,2022-10-01,7,181.94
439,2022-10-01,8,171.03
440,2022-10-01,9,185.69
441,2022-10-01,10,177.96
442,2022-10-01,11,204.69
443,2022-10-01,12,204.69
444,2022-10-01,13,197.86
445,2022-10-01,14,243.35
446,2022-10-01,15,244.48
447,2022-10-01,16,284.28
448,2022-10-01,17,250.17
449,2022-10-01,18,273.14
450,2022-10-01,19,268.36
451,2022-10-01,20,272.91
452,2022-10-01,21,272.91
453,2022-10-01,22,270.64
454,2022-10-01,23,261.09
455,2022-10-01,24,265.64
456,2022-10-01,25,263.82
457,2022-10-01,26,266.09
458,2022-10-01,27,278.37
459,2022-10-01,28,260.18
460,2022-10-01,29,259.04
461,2022-10-01,30,256.88
462,2022-10-01,31,238.8
463,2022-10-01,32,261.54
464,2022-10-01,33,238.8
465,2022-10-01,34,283.94
466,2022-10-01,35,266.09
467,2022-10-01,36,266.09
468,2022-10-01,37,278.6
469,2022-10-01,38,238.8
470,2022-10-01,39,255.4
471,2022-10-01,40,222.65
